model,P_SUM,U_L1_N,I_SUM,H_TDH_I_L3_N,F,ReacEc_L1,C_phi_L3,ReacEc_L3,RealE_SUM,H_TDH_U_L2_N
BiGRU_32_30_15secs,0.049755,0.059197,0.074294,0.102539,0.048891,0.272276,0.119646,0.749090,0.064744,0.064548
BiLSTM_32_40_15secs,0.071518,0.080915,0.075252,0.091223,0.049232,0.275686,0.113077,0.802472,0.070306,0.058678
AttentionBiLSTM_32_40_15secs,0.022471,0.052023,0.072157,0.097388,0.049612,0.406175,0.116357,0.595395,0.212549,0.050056
BiGRU_32_40_15secs,0.071374,0.079987,0.074533,0.104756,0.049003,0.275452,0.121743,0.740084,0.082333,0.068199
BiLSTM_32_50_15secs,0.059352,0.087398,0.075615,0.093434,0.049094,0.279865,0.113160,0.871375,0.099290,0.057360
AttentionBiLSTM_32_50_15secs,0.022646,0.053434,0.072410,0.097805,0.049181,0.409043,0.091452,0.615707,0.232735,0.049370
BiGRU_32_50_15secs,0.071564,0.085347,0.076129,0.109467,0.048792,0.276712,0.120130,0.813669,0.082828,0.067406
BiLSTM_64_10_15secs,0.039536,0.082167,0.071121,0.098587,0.047982,0.236873,0.094655,0.204503,0.053492,0.059415
AttentionBiLSTM_64_10_15secs,0.026526,0.060378,0.071703,0.063701,0.049379,0.545003,0.113733,0.523878,0.171689,0.049880
BiGRU_64_10_15secs,0.031380,0.078427,0.071551,0.092315,0.048282,0.226484,0.092556,0.734434,0.050298,0.054701
BiLSTM_64_20_15secs,0.044213,0.081414,0.072747,0.095778,0.048077,0.250552,0.112641,0.526991,0.047511,0.056812
AttentionBiLSTM_64_20_15secs,0.029077,0.059089,0.072024,0.069218,0.049616,0.454284,0.113836,0.536032,0.197585,0.051384
BiGRU_64_20_15secs,0.043209,0.063967,0.073306,0.110217,0.048195,0.204491,0.105403,0.518716,0.035878,0.055312
BiLSTM_64_30_15secs,0.036381,0.078564,0.073329,0.098163,0.048171,0.265198,0.111050,0.649239,0.121503,0.060158
AttentionBiLSTM_64_30_15secs,0.027566,0.059365,0.072516,0.073216,0.050255,0.465714,0.114316,0.541285,0.196765,0.051434
BiGRU_64_30_15secs,0.041919,0.069013,0.074457,0.121215,0.048484,0.215450,0.115045,0.694053,0.007532,0.056452
BiLSTM_64_40_15secs,0.036323,0.081840,0.073791,0.103736,0.048634,0.280216,0.117424,0.715693,0.056150,0.063666
AttentionBiLSTM_64_40_15secs,0.022362,0.059086,0.071799,0.070904,0.049899,0.468190,0.108521,0.553712,0.208171,0.050928
BiGRU_64_40_15secs,0.036920,0.077590,0.075715,0.132400,0.048917,0.248527,0.120311,0.738247,0.036246,0.066522
BiLSTM_64_50_15secs,0.048955,0.076691,0.075948,0.106095,0.048990,0.283429,0.117809,0.753327,0.079393,0.070967
AttentionBiLSTM_64_50_15secs,0.025154,0.060054,0.072844,0.070396,0.049940,0.469309,0.108925,0.567432,0.207394,0.049860
BiGRU_64_50_15secs,0.047089,0.082203,0.076292,0.131841,0.048690,0.268361,0.122041,0.787796,0.091305,0.069072
BiLSTM_128_10_15secs,0.041403,0.056870,0.072660,0.091914,0.047945,0.214799,0.094233,0.562473,0.042397,0.057358
AttentionBiLSTM_128_10_15secs,0.029730,0.061970,0.071670,0.067752,0.049306,0.489335,0.112900,0.507151,0.164563,0.052139
BiGRU_128_10_15secs,0.036174,0.081959,0.075796,0.125864,0.048105,0.176672,0.088055,0.542905,0.033274,0.058401
BiLSTM_128_20_15secs,0.036316,0.078147,0.071825,0.105881,0.047956,0.234657,0.094494,0.542100,0.035672,0.057885
AttentionBiLSTM_128_20_15secs,0.026159,0.059869,0.072257,0.066463,0.049688,0.480817,0.112915,0.518725,0.189033,0.051697
BiGRU_128_20_15secs,0.051282,0.086409,0.075306,0.133092,0.048150,0.194270,0.097659,0.601148,0.019870,0.059615
BiLSTM_128_30_15secs,0.057997,0.072200,0.072427,0.111449,0.048163,0.245453,0.104701,0.562551,0.008376,0.057514
AttentionBiLSTM_128_30_15secs,0.026320,0.059381,0.071949,0.073491,0.049462,0.484565,0.112711,0.530552,0.190962,0.051534
BiGRU_128_30_15secs,0.027852,0.075566,0.075074,0.152511,0.048108,0.201674,0.104688,0.692393,0.031997,0.056533
BiLSTM_128_40_15secs,0.042511,0.080937,0.073683,0.116847,0.048113,0.254767,0.118349,0.598701,0.037850,0.058907
AttentionBiLSTM_128_40_15secs,0.026165,0.058009,0.072142,0.072121,0.049615,0.492800,0.112494,0.534408,0.195953,0.053905
BiGRU_128_40_15secs,0.041467,0.081899,0.079823,0.162878,0.048073,0.241843,0.115166,0.654412,0.042671,0.058794
BiLSTM_128_50_15secs,0.042342,0.078544,0.074091,0.125780,0.048122,0.262703,0.120698,0.682598,0.025817,0.058587
AttentionBiLSTM_128_50_15secs,0.021400,0.054255,0.072469,0.113775,0.049709,0.505086,0.112333,0.540774,0.219437,0.055429
BiGRU_128_50_15secs,0.051485,0.085819,0.076691,0.168117,0.048182,0.217786,0.111955,0.619788,0.043363,0.071810
BiLSTM_256_10_15secs,0.034865,0.078675,0.071571,0.120215,0.047916,0.207235,0.088413,0.504869,0.037753,0.056797
AttentionBiLSTM_256_10_15secs,0.025036,0.061603,0.071732,0.085098,0.049411,0.521308,0.102497,0.493012,0.999807,0.052976
BiGRU_256_10_15secs,0.042031,0.083365,0.072643,0.145923,0.048955,0.183022,0.092354,0.395259,0.110976,0.058232
BiLSTM_256_20_15secs,0.030317,0.079708,0.071329,0.129552,0.048547,0.223678,0.109875,0.531576,0.027138,0.058990
AttentionBiLSTM_256_20_15secs,0.025919,0.062772,0.072003,0.089731,0.049288,0.503720,0.108050,0.523553,0.999807,0.052400
BiGRU_256_20_15secs,0.033371,0.092789,0.072914,0.165497,0.048539,0.193287,0.094958,0.466292,0.023231,0.060177
BiLSTM_256_30_15secs,0.041394,0.088345,0.072002,0.140517,0.048430,0.232102,0.100309,0.628902,0.012298,0.060204
AttentionBiLSTM_256_30_15secs,0.025558,0.056958,0.072032,0.094067,0.049414,0.492726,0.102684,0.537419,0.999807,0.053332
BiGRU_256_30_15secs,0.063111,0.088506,0.075641,0.181619,0.048790,0.206344,0.094912,0.505472,0.041370,0.058344
BiLSTM_256_40_15secs,0.039895,0.089378,0.073252,0.152719,0.048210,0.245600,0.114214,0.626912,0.033919,0.055674
AttentionBiLSTM_256_40_15secs,0.023841,0.055481,0.072466,0.094090,0.049310,0.493152,0.102548,0.549341,0.999807,0.054169
BiGRU_256_40_15secs,0.042692,0.092730,0.075209,0.180951,0.048636,0.201262,0.096967,0.624225,0.075753,0.061434
BiLSTM_256_50_15secs,0.059665,0.077104,0.073137,0.156728,0.048153,0.257658,0.110271,0.609913,0.034148,0.059936
AttentionBiLSTM_256_50_15secs,0.027383,0.056344,0.072685,0.101079,0.049334,0.496665,0.099478,0.566302,0.999807,0.050203
BiGRU_256_50_15secs,0.057190,0.082537,0.078483,0.208569,0.048317,0.229597,0.107436,0.607670,0.067903,0.060833
AutoML,1.000000,0.028839,0.118101,1.000000,0.048040,0.173062,0.113207,0.544474,0.047779,0.051630
