model,P_SUM,U_L1_N,I_SUM,H_TDH_I_L3_N,F,ReacEc_L1,C_phi_L3,ReacEc_L3,RealE_SUM,H_TDH_U_L2_N
BiGRU_16_20_15secs,0.085230,0.040472,0.078707,0.050682,0.041227,0.043304,0.068539,0.133112,0.339272,0.031318
BiLSTM_16_30_15secs,0.100447,0.046147,0.077301,0.049069,0.040720,0.046796,0.071625,0.132879,0.361962,0.031498
AttentionBiLSTM_16_30_15secs,0.074283,0.048847,0.071086,0.051122,0.041039,0.044135,0.061241,0.134946,0.282833,0.032361
BiGRU_16_30_15secs,0.083220,0.041809,0.078715,0.051689,0.041080,0.044209,0.073970,0.183239,0.357757,0.031208
BiLSTM_16_40_15secs,0.102317,0.050140,0.084993,0.050231,0.041068,0.043088,0.078995,0.161485,0.369745,0.031463
AttentionBiLSTM_16_40_15secs,0.074573,0.048506,0.069272,0.053175,0.041554,0.046487,0.064991,0.142474,0.297583,0.032192
BiGRU_16_40_15secs,0.085770,0.044090,0.079064,0.052530,0.041058,0.042016,0.070542,0.177199,0.296379,0.031448
BiLSTM_16_50_15secs,0.108510,0.048748,0.076924,0.060533,0.041250,0.048293,0.080700,0.185953,0.296450,0.031514
AttentionBiLSTM_16_50_15secs,0.077118,0.046404,0.068749,0.058533,0.041262,0.047961,0.066962,0.152253,0.313152,0.031615
BiGRU_16_50_15secs,0.081733,0.043042,0.078311,0.060994,0.041134,0.046928,0.071260,0.169168,0.314354,0.031772
BiLSTM_32_10_15secs,0.084751,0.038191,0.080209,0.050019,0.043747,0.036590,0.059362,0.112209,0.264246,0.033471
AttentionBiLSTM_32_10_15secs,0.075518,0.053966,0.074000,0.048778,0.040863,0.034418,0.060646,0.084673,0.240199,0.031408
BiGRU_32_10_15secs,0.085595,0.039339,0.084384,0.050715,0.042076,0.035001,0.062632,0.118284,0.284558,0.032136
BiLSTM_32_20_15secs,0.090729,0.045125,0.090758,0.051243,0.042264,0.041846,0.065578,0.136976,0.321335,0.033711
AttentionBiLSTM_32_20_15secs,0.076441,0.054426,0.069160,0.048882,0.040881,0.035505,0.059096,0.086609,0.250157,0.031574
BiGRU_32_20_15secs,0.084122,0.036311,0.087357,0.053210,0.041272,0.034735,0.066642,0.148092,0.320015,0.031943
BiLSTM_32_30_15secs,0.092256,0.049320,0.089984,0.055916,0.042179,0.042434,0.071373,0.137097,0.348110,0.031586
AttentionBiLSTM_32_30_15secs,0.071697,0.046158,0.072707,0.048268,0.040914,0.039048,0.057455,0.100227,0.267590,0.031525
BiGRU_32_30_15secs,0.089269,0.043453,0.083732,0.055105,0.041411,0.041750,0.071147,0.156452,0.348052,0.031854
BiLSTM_32_40_15secs,0.089612,0.049816,0.087053,0.057525,0.040790,0.047111,0.076439,0.158848,0.368290,0.031766
AttentionBiLSTM_32_40_15secs,0.071963,0.046584,0.071764,0.048524,0.040958,0.043062,0.056810,0.114557,0.278609,0.032260
BiGRU_32_40_15secs,0.082784,0.040859,0.083249,0.053010,0.040923,0.042089,0.073671,0.175020,0.361992,0.031768
BiLSTM_32_50_15secs,0.081564,0.044428,0.080253,0.051123,0.041013,0.043713,0.081288,0.172513,0.384727,0.031258
AttentionBiLSTM_32_50_15secs,0.073413,0.046048,0.070427,0.049639,0.041210,0.046965,0.061589,0.141352,0.290842,0.033013
BiGRU_32_50_15secs,0.082553,0.042054,0.080124,0.053413,0.040895,0.042107,0.078316,0.185491,0.351071,0.031799
BiLSTM_64_10_15secs,0.075938,0.038499,0.072715,0.049484,0.045367,0.033843,0.063382,0.083133,0.208846,0.036057
AttentionBiLSTM_64_10_15secs,0.078067,0.052097,0.070703,0.049106,0.041048,0.033771,0.058924,0.085396,0.239015,0.031616
BiGRU_64_10_15secs,0.082114,0.033981,0.075709,0.051152,0.045353,0.033350,0.069428,0.116833,0.244709,0.032064
