model,P_SUM,U_L1_N,I_SUM,H_TDH_I_L3_N,F,ReacEc_L1,C_phi_L3,ReacEc_L3,RealE_SUM,H_TDH_U_L2_N
Dense20_LSTM10_15secs,0.025210,0.055067,0.083432,0.099308,0.054431,0.167587,0.101714,0.245297,0.037136,0.048202
Dense20_GRU10_15secs,0.022206,0.067222,0.083939,0.109532,0.054277,0.186363,0.095279,0.035681,0.038191,0.051834
Dense30_LSTM10_15secs,0.020879,0.056106,0.083929,0.116846,0.054415,0.188898,0.109786,0.343631,0.031883,0.048255
Dense30_GRU10_15secs,0.041062,0.073629,0.085309,0.095997,0.054305,0.074373,0.086442,0.239598,0.030259,0.052533
Dense40_LSTM10_15secs,0.044611,0.054885,0.084411,0.090831,0.054635,0.225622,0.118339,0.771230,0.036207,0.049524
Dense40_GRU10_15secs,0.024026,0.060347,0.085486,0.087322,0.054275,0.151544,0.100156,0.459149,0.050674,0.049455
Dense50_LSTM10_15secs,0.028120,0.052715,0.083784,0.127109,0.054590,0.235725,0.111471,0.709354,0.071315,0.051152
Dense50_GRU10_15secs,0.026586,0.066717,0.086170,0.119100,0.054239,0.182891,0.093997,0.188331,0.040614,0.046745
LSTM10_2Stacks_15secs,0.023375,0.059163,0.083590,0.093748,0.054569,0.239150,0.129098,0.686839,0.037048,0.044217
GRU10_2Stacks_15secs,0.050843,0.067161,0.084518,0.082814,0.054472,0.238144,0.135631,0.733684,0.042248,0.046192
LSTM10_3Stacks_15secs,0.056178,0.074232,0.084385,0.096149,0.054686,0.284846,0.138182,0.831264,0.051617,0.050031
GRU10_3Stacks_15secs,0.135921,0.061905,0.083560,0.095576,0.054841,0.282541,0.139531,0.838989,0.060494,0.045385
LSTM10_4Stacks_15secs,0.056703,0.057878,0.084190,0.105180,0.054966,0.298748,0.140625,0.863114,0.164789,0.044539
GRU10_4Stacks_15secs,0.033859,0.073031,0.084327,0.066664,0.055262,0.294002,0.138780,0.864223,0.060072,0.170869
LSTM10_5Stacks_15secs,0.070771,0.074454,0.146068,0.093360,0.055344,0.301084,0.140253,0.864384,0.220975,0.272686
GRU10_5Stacks_15secs,0.076752,0.068162,0.083527,0.086041,0.055134,0.301394,0.140168,0.864290,0.060832,0.110456
LSTM10_1ConvStacks_15secs,0.031752,0.057011,0.084887,0.083812,0.054619,0.236755,0.088645,0.342602,0.020488,0.045640
GRU10_1ConvStacks_15secs,0.023436,0.060287,0.085605,0.080989,0.054497,0.174129,0.087150,0.353087,0.021724,0.046606
LSTM10_2ConvStacks_15secs,0.028409,0.055948,0.084746,0.080098,0.054803,0.248591,0.127903,0.692541,0.012444,0.045581
GRU10_2ConvStacks_15secs,0.021973,0.056083,0.087283,0.125160,0.054438,0.197892,0.113735,0.407543,0.013200,0.047176
LSTM10_3ConvStacks_15secs,0.024985,0.058120,0.087731,0.100707,0.054875,0.294226,0.132623,0.549895,0.032941,0.049040
GRU10_3ConvStacks_15secs,0.025541,0.056873,0.086404,0.122056,0.054639,0.225176,0.103480,0.583314,0.016298,0.050308
LSTM10_4ConvStacks_15secs,0.026193,0.055939,0.086291,0.135032,0.054503,0.314043,0.128876,0.423854,0.031958,0.055919
GRU10_4ConvStacks_15secs,0.028194,0.058874,0.084463,0.140682,0.054621,0.312816,0.131693,0.864019,0.025749,0.046641
LSTM10_5ConvStacks_15secs,0.031363,0.056129,0.083968,0.123689,0.054977,0.313512,0.139461,0.864914,0.012165,0.043337
GRU10_5ConvStacks_15secs,0.037707,0.061076,0.085490,0.135616,0.054880,0.311849,0.129711,0.864752,0.033597,0.047282
